Title,Description,Estimate_hours,Priority,Files,Commits,Acceptance_Criteria,Labels
"TASK-01 ADR and queue migration plan","ADR for queue workers finalized: contract, job schema, migration plan and rollback steps prepared.",16,High,"alembic/versions/20260125_create_processing_jobs.py; docs/adr/ADR-2026-001-queue-workers.md; tests/test_job_queue.py; transkribator_modules/jobs/queue.py","e2c9d62","ADR document in docs/adr/ accepted; migration checklist present; alembic upgrade/rollback validated locally","docs,backend,infra"
"TASK-02 Queue DAO and services","DAO for processing jobs implemented; services for enqueue/claim/update/requeue and unit tests added. Atomic operations and basic error handling ensured.",80,High,"transkribator_modules/jobs/queue.py; transkribator_modules/jobs/services.py; transkribator_modules/jobs/service_factory.py; tests/test_job_queue.py; tests/test_job_queue_db.py","e2c9d62","Unit tests for DAO (enqueue, claim, update, requeue) pass; migration applied; smoke end-to-end enqueue→worker→complete","backend,worker,tests"
"TASK-03 DI worker & Whisper service","Finalize DI worker and long-lived FastAPI whisper service: Dockerfiles, entrypoints, network/WG glue, env handling and transcribe_client integration.",110,High,"tools/whisper_service.py; tools/transcribe_local_whisper.py; tools/di_worker/*; transcribe_client/di_worker.py; tools/run_prepare_and_transcribe.py","763df02;411f66c;b4a3591a","Docker images build; sample audio → transcript works; worker processes job and stores transcript","worker,infra,container"
"TASK-04 Transcriber pipeline (v4)","Polish transcriber_v4: chunking, retries, formatting via OpenRouter/OpenAI, fallback behavior on LLM errors and tests for chunking/formatting.",60,High,"transkribator_modules/transcribe/transcriber_v4.py; transcribe_client/*; tools/run_prepare_and_transcribe.py","b4a3591a","Chunking and formatting unit tests pass; 10-min sample produces formatted transcript; fallbacks validated","backend,ai,tests"
"TASK-05 Bot refactor: handlers & logging","Complete refactor of bot handlers, callbacks, commands; integrate logging_utils, processing_guard, update_dedupe and large file downloader changes. Add smoke tests for main flows.",140,High,"transkribator_modules/bot/handlers.py; callbacks.py; commands.py; logging_utils.py; processing_guard.py; update_dedupe.py; utils/large_file_downloader.py","14c3fd2;b4a3591a","Core bot flows (start, upload media, buy plan, personal cabinet) work in dev compose; handler tests/smoke pass","backend,bot,tests"
"TASK-06 Payments & webhooks (Yukassa)","Stabilize Yukassa integration: webhook handlers, payment monitoring, sandbox testing and logging for payment flows.",40,Medium,"transkribator_modules/bot/payments.py; transkribator_modules/payments/yukassa.py; payments/monitoring.py; bot/yukassa_webhook.py","b4a3591a","Sandbox payment scenario completes; webhook validation and DB updates verified; monitoring emits events","payments,backend,monitoring"
"TASK-07 Docker & compose improvements","Fix and optimize Dockerfiles and docker-compose configurations; ensure reproducible builds, small images and no secret leakage to images.",40,Medium,"Dockerfile*; docker-compose*.yml; entrypoint-wg.sh; entrypoint.sh; Makefile","b4a3591a;f9323456","docker compose build & up succeed for dev stack; no secrets in built images; build times reasonable","infra,devops"
"TASK-08 Tools & minimal_app stabilization","Polish developer tools and minimal_app pipeline used for local testing and benchmarks; update READMEs and usage scripts.",32,Medium,"minimal_app/*; tools/di_worker/*; tools/*; scripts/*","6af943b;c750d7e;763df02","minimal_app end-to-end run completes for a sample audio; tool README updated; scripts usable by devs","tools,dev-experience"
"TASK-09 Tests & CI stabilization","Stabilize unit and integration tests, mock external services where needed, and configure CI (pytest, lint, black/isort checks).",40,High,"tests/*; pytest.ini; .github/workflows/*","c750d7e","CI pipeline runs tests and linters; flaky external tests are mocked or flagged; local pytest passes","tests,ci"
"TASK-10 Repo cleanup: large files & policy","Remove or archive large binary artifacts (wheelhouse, exports, DB dumps); update .gitignore; prepare plan for history rewrite if required.",24,Medium,"exports/*; results/*; wheelhouse/*; server_dbs_*; .gitignore; LARGE_FILES_FIX.md","b4a3591a","Large binaries removed from future commits; .gitignore updated; archival location documented; plan for history rewrite prepared if needed","infra,maintenance"
"TASK-11 Buffer: bugfix & polish","Buffer time for bug fixes, integration polish, post-integration adjustments and final smoke tests before release.",18,High,"(various small fixes across repo)","(n/a)","Critical bugs fixed; smoke tests green; release checklist completed","maintenance,release"
