run,chunk_level,chunk_length_s,temperature,http_code,elapsed_s,output_file
1,whole,,0,500,2.53229,/data/out/result_1.json
2,segment,120,0,500,0.747012,/data/out/result_2.json
3,segment,60,0,500,1.01899,/data/out/result_3.json
4,segment,30,0,500,0.764104,/data/out/result_4.json
5,segment,15,0,500,2.40761,/data/out/result_5.json
6,segment,5,0,500,0.986359,/data/out/result_6.json
7,sentence,120,0,500,1.04323,/data/out/result_7.json
8,sentence,60,0,500,0.990225,/data/out/result_8.json
9,sentence,30,0,500,0.790274,/data/out/result_9.json
10,sentence,15,0,500,0.863448,/data/out/result_10.json
11,sentence,5,0,500,1.01185,/data/out/result_11.json
